OBJECTID,ADDRTYPE,LOCATION,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,SPEEDING,HITPARKEDCAR
218691,Intersection,14TH AVE S AND S CLOVERDALE ST,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,0,2020/10/01 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218692,Block,N 115TH ST BETWEEN STONE AVE N AND MERIDIAN AVE N,1,Property Damage Only Collision,Head On,2,0,0,2,0,0,0,2020/07/08 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218693,Intersection,ROOSEVELT WAY NE AND NE NORTHGATE WAY,2,Injury Collision,Angles,2,0,0,2,2,0,0,2020/08/16 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218694,Block,S HENDERSON ST BETWEEN CARKEEK DR S AND M L KING JR WR WAY S,1,Property Damage Only Collision,NA,2,0,0,0,0,0,0,2020/07/22 00:00:00+00,NA,NA,NA,NA,NA,N
218695,Intersection,LAKE CITY WAY NE AND NE 145TH ST,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020/05/25 00:00:00+00,N,Raining,Wet,Daylight,NA,N
218696,Block,HARBOR AVE SW BETWEEN ALKI AVE SW AND SW CALIFORNIA PL,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2020/07/19 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218697,Intersection,12TH AVE SW AND SW TRENTON ST,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2020/10/10 00:00:00+00,N,Raining,Wet,Dark - Street Lights On,Y,N
218698,Block,WESTLAKE AVE BETWEEN LENORA ST AND BLANCHARD ST,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2020/09/01 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218699,Block,20TH AVE S BETWEEN S WELLER ST AND S LANE ST,0,Unknown,NA,0,0,0,0,0,0,0,2020/10/08 00:00:00+00,NA,NA,NA,NA,NA,Y
218701,Block,WESTLAKE AVE N BETWEEN NEWELL ST AND NICKERSON ST,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2020/08/05 00:00:00+00,N,Clear,Dry,Dawn,NA,N
218702,Intersection,20TH AVE NW AND NW MARKET ST,2,Injury Collision,Pedestrian,4,1,0,1,1,0,0,2020/02/27 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218703,Block,CORSON AVE S BETWEEN S HARNEY ST AND S MICHIGAN ST,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2020/08/22 00:00:00+00,N,Raining,Wet,Dark - Street Lights On,NA,N
218705,Block,13TH AVE S BETWEEN S JUDKINS ST AND S ATLANTIC ST,0,Unknown,NA,0,0,0,0,0,0,0,2020/09/28 00:00:00+00,NA,NA,NA,NA,NA,Y
218707,Intersection,9TH AVE N AND ROY ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2020/07/26 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218708,Intersection,GREEN LAKE DR N AND STONE AVE N,0,Unknown,NA,0,0,0,0,0,0,0,2020/07/31 00:00:00+00,NA,NA,NA,NA,NA,Y
218709,Block,GREENWOOD AVE N BETWEEN N 110TH ST AND N 112TH ST,2,Injury Collision,Other,1,0,0,1,1,0,0,2020/08/16 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218710,Intersection,FAIRVIEW AVE N AND MERCER ST,1,Property Damage Only Collision,Left Turn,2,0,0,2,0,0,0,2020/07/16 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218711,Block,N 46TH ST BETWEEN EVANSTON AVE N AND FREMONT AVE N,1,Property Damage Only Collision,NA,2,0,0,0,0,0,0,2020/07/08 00:00:00+00,NA,NA,NA,NA,NA,N
